"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Non-resident visitors entering Canada, by country of residence","24100050",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005001",2,"CURRENT - a cube available to the public and that is current","Monthly","1972-01-01","2024-11-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Country of residence",1,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",,
"1","Quebec","[24]","6","1","",,
"1","Ontario","[35]","7","1","",,
"1","Manitoba","[46]","8","1","",,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Yukon","[60]","12","1","",,
"1","Northwest Territories","[61]","13","1","",,
"1","Nunavut","[62]","14","1","",,
"2","Non-resident visitors entering Canada","","1","","",,
"2","United States of America residents entering Canada","","2","1","",,
"2","Residents of countries other than the United States of America entering Canada","","3","1","",,
"2","Americas, countries other than the United States of America","","4","3","",,
"2","North America, countries other than the United States of America","","5","4","",,
"2","Greenland","","6","5","",,
"2","Mexico","","7","5","",,
"2","Saint Pierre and Miquelon","","8","5","",,
"2","Central America","","9","4","",,
"2","Belize","","10","9","",,
"2","Costa Rica","","11","9","",,
"2","El Salvador","","12","9","",,
"2","Guatemala","","13","9","",,
"2","Honduras","","14","9","",,
"2","Nicaragua","","15","9","",,
"2","Panama","","16","9","",,
"2","Caribbean","","17","4","",,
"2","Anguilla","","18","17","",,
"2","Antigua and Barbuda","","19","17","",,
"2","Aruba","","20","17","",,
"2","Bahamas","","21","17","",,
"2","Barbados","","22","17","",,
"2","Bermuda","","23","17","",,
"2","Bonaire, Sint Eustatius and Saba","","24","17","",5,
"2","Cayman Islands","","25","17","",,
"2","Cuba","","26","17","",,
"2","Curaçao","","27","17","",5,
"2","Dominica","","28","17","",,
"2","Dominican Republic","","29","17","",,
"2","Grenada","","30","17","",,
"2","Guadeloupe","","31","17","",6,
"2","Haiti","","32","17","",,
"2","Jamaica","","33","17","",,
