"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"International travellers entering or returning to Canada, by type of transportation and traveller type","24100053",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410005301",1,"CURRENT - a cube available to the public and that is current","Monthly","1972-01-01","2024-11-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Traveller characteristics",,""
"3","Traveller type",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Avalon Peninsula","","3","2","",,
"1","Argentia","","4","3","",,
"1","St. John's","","5","3","",,
"1","Central Newfoundland","","6","2","",,
"1","Gander","","7","6","",,
"1","Lewisporte/Botwood","","8","6","",,
"1","Eastern Newfoundland","","9","2","",,
"1","Clarenville","","10","9","",,
"1","Fortune","","11","9","",,
"1","Labrador","","12","2","",,
"1","Goose Bay","","13","12","",,
"1","Western Newfoundland","","14","2","",,
"1","Corner Brook","","15","14","",,
"1","St. Anthony","","16","14","",,
"1","Stephenville","","17","14","",,
"1","Prince Edward Island","[11]","18","1","",,
"1","Prince Edward Island Area","","19","18","",,
"1","Charlottetown","","20","19","",,
"1","Nova Scotia","[12]","21","1","",,
"1","Cape Breton","","22","21","",,
"1","Port Hawkesbury","","23","22","",,
"1","Sydney","","24","22","",,
"1","Evangeline Trail/Lighthouse Route","","25","21","",,
"1","Digby","","26","25","",,
"1","Shelburne/Liverpool/Lunenberg","","27","25","",,
"1","Yarmouth","","28","25","",,
"1","Halifax/Dartmouth Area","","29","21","",,
"1","Halifax/Dartmouth","","30","29","",,
"1","Sunrise Trail","","31","21","",,
"1","New Glasgow","","32","31","",,
"1","New Brunswick","[13]","33","1","",,
"1","Acadian Coastal","","34","33","",,
"1","Bathurst","","35","34","",,
"1","Dalhousie","","36","34","",,
"1","Fundy Coastal","","37","33","",,
"1","Campobello","","38","37","",,
"1","Grand Manan","","39","37","",,
"1","Milltown","","40","37","",,
"1","Moncton","","41","37","",,
"1","Saint John","","42","37","",,
"1","St. Andrews","","43","37","",,
"1","St. Croix","","44","37","",,
"1","St. Stephen - 3rd Bridge","","45","37","",,
